Date,Clicks,Impressions,CTR,Position
2025-09-27,7,755,0.93%,23.8
2025-09-28,7,948,0.74%,21.8
2025-09-29,11,999,1.1%,19.8
2025-09-30,18,1043,1.73%,21.6
2025-10-01,11,975,1.13%,26
2025-10-02,8,561,1.43%,21.8
2025-10-03,9,927,0.97%,19.2
2025-10-04,4,474,0.84%,21.3
2025-10-05,5,671,0.75%,20.6
2025-10-06,9,948,0.95%,25.2
2025-10-07,10,923,1.08%,20.6
2025-10-08,12,715,1.68%,17.2
2025-10-09,6,626,0.96%,17
2025-10-10,6,717,0.84%,17.4
2025-10-11,5,729,0.69%,17.3
2025-10-12,5,695,0.72%,18.9
2025-10-13,6,854,0.7%,17.7
2025-10-14,12,842,1.43%,16.2
2025-10-15,14,902,1.55%,16.2
2025-10-16,24,637,3.77%,17.2
2025-10-17,17,588,2.89%,16
2025-10-18,7,491,1.43%,21.9
2025-10-19,7,621,1.13%,19.4
2025-10-20,6,925,0.65%,18.7
2025-10-21,13,624,2.08%,19.6
2025-10-22,10,621,1.61%,17.8
2025-10-23,12,525,2.29%,18.8
2025-10-24,8,425,1.88%,19.1
2025-10-25,7,291,2.41%,15.6
2025-10-26,7,358,1.96%,19.7
2025-10-27,15,615,2.44%,17.8
2025-10-28,21,519,4.05%,17.1
2025-10-29,10,497,2.01%,20.3
2025-10-30,12,504,2.38%,17.9
2025-10-31,6,422,1.42%,21.1
2025-11-01,5,628,0.8%,20.1
2025-11-02,3,527,0.57%,19.7
2025-11-03,6,646,0.93%,18
2025-11-04,20,600,3.33%,14.3
2025-11-05,14,575,2.43%,16.7
2025-11-06,13,639,2.03%,15.7
2025-11-07,9,725,1.24%,16.6
2025-11-08,8,581,1.38%,16.8
2025-11-09,7,628,1.11%,14
2025-11-10,26,808,3.22%,14.5
2025-11-11,20,631,3.17%,12.9
2025-11-12,17,706,2.41%,13.2
2025-11-13,8,667,1.2%,17.9
2025-11-14,12,662,1.81%,18.6
2025-11-15,7,522,1.34%,16.7
2025-11-16,6,1059,0.57%,11.7
2025-11-17,16,887,1.8%,17.9
2025-11-18,12,766,1.57%,15.7
2025-11-19,11,927,1.19%,19.9
2025-11-20,17,794,2.14%,18.6
2025-11-21,10,700,1.43%,22.9
2025-11-22,5,607,0.82%,16.8
2025-11-23,4,613,0.65%,25.1
2025-11-24,12,867,1.38%,22.4
2025-11-25,10,767,1.3%,22.7
2025-11-26,14,690,2.03%,24
2025-11-27,5,708,0.71%,23.8
2025-11-28,7,635,1.1%,19.3
2025-11-29,10,566,1.77%,20.1
2025-11-30,7,725,0.97%,29
2025-12-01,11,945,1.16%,17.9
2025-12-02,10,877,1.14%,17.4
2025-12-03,14,831,1.68%,16
2025-12-04,15,842,1.78%,19.1
2025-12-05,9,1158,0.78%,18.3
2025-12-06,8,733,1.09%,17.5
2025-12-07,9,765,1.18%,22.7
2025-12-08,18,967,1.86%,21.1
2025-12-09,9,816,1.1%,18.9
2025-12-10,11,906,1.21%,17.7
2025-12-11,16,827,1.93%,18.1
2025-12-12,13,1775,0.73%,21.9
2025-12-13,7,542,1.29%,19.2
2025-12-14,5,618,0.81%,23.1
2025-12-15,15,768,1.95%,21.1
2025-12-16,11,721,1.53%,16.3
2025-12-17,13,697,1.87%,18
2025-12-18,15,699,2.15%,16.5
2025-12-19,8,702,1.14%,19.2
2025-12-20,6,737,0.81%,19.5
2025-12-21,7,681,1.03%,23.8
2025-12-22,3,717,0.42%,19.1
2025-12-23,7,757,0.92%,18.7
2025-12-24,5,527,0.95%,19.2
2025-12-25,3,570,0.53%,21.4
2025-12-26,6,697,0.86%,18.9
2025-12-27,8,737,1.09%,21.2
2025-12-28,5,734,0.68%,24.5
2025-12-29,9,876,1.03%,25.1
2025-12-30,10,756,1.32%,21.1
2025-12-31,12,696,1.72%,18.8
2026-01-01,6,665,0.9%,18.1
2026-01-02,12,767,1.56%,16.8
2026-01-03,5,606,0.83%,16.3
2026-01-04,9,750,1.2%,21.5
2026-01-05,6,861,0.7%,16.7
2026-01-06,11,749,1.47%,13.2
2026-01-07,16,1046,1.53%,21.9
2026-01-08,11,819,1.34%,16.4
2026-01-09,13,838,1.55%,19.6
2026-01-10,8,766,1.04%,22
2026-01-11,6,773,0.78%,19.9
2026-01-12,16,1036,1.54%,15.3
2026-01-13,11,981,1.12%,16.6
2026-01-14,9,940,0.96%,16.2
2026-01-15,18,1426,1.26%,20.8
2026-01-16,11,957,1.15%,18.4
2026-01-17,6,779,0.77%,15.1
2026-01-18,3,884,0.34%,20.2
2026-01-19,14,1015,1.38%,22.2
2026-01-20,12,1308,0.92%,22.2
2026-01-21,16,1191,1.34%,16.5
2026-01-22,17,982,1.73%,20.6
2026-01-23,14,897,1.56%,17.3
2026-01-24,7,911,0.77%,20.1
2026-01-25,6,832,0.72%,19.9
2026-01-26,19,1176,1.62%,26.2
2026-01-27,12,1339,0.9%,18.4
2026-01-28,19,1187,1.6%,20.8
2026-01-29,14,965,1.45%,16.2
2026-01-30,10,992,1.01%,18.1
2026-01-31,7,909,0.77%,17.6
2026-02-01,6,1042,0.58%,18.2
2026-02-02,17,1067,1.59%,17.7
2026-02-03,12,1115,1.08%,14.5
2026-02-04,12,1177,1.02%,15.1
2026-02-05,14,1151,1.22%,16.4
2026-02-06,11,1058,1.04%,16.7
2026-02-07,14,902,1.55%,13.6
2026-02-08,13,1108,1.17%,16.1
2026-02-09,15,1302,1.15%,15.5
2026-02-10,27,1315,2.05%,14.1
2026-02-11,14,1506,0.93%,13.2
2026-02-12,17,1275,1.33%,14
2026-02-13,13,1193,1.09%,14
2026-02-14,14,1188,1.18%,13.6
2026-02-15,3,1385,0.22%,13.5
2026-02-16,11,1392,0.79%,12.8
2026-02-17,17,1605,1.06%,9.2
2026-02-18,15,1623,0.92%,8.9
2026-02-19,15,1740,0.86%,9.6
2026-02-20,12,1408,0.85%,10.4
2026-02-21,3,1381,0.22%,14.1
2026-02-22,8,1318,0.61%,13.1
2026-02-23,11,1278,0.86%,14.2
2026-02-24,10,1261,0.79%,12.8
2026-02-25,10,1042,0.96%,13.7
2026-02-26,15,1155,1.3%,13.4
2026-02-27,12,1499,0.8%,13.2
2026-02-28,3,1080,0.28%,13.1
2026-03-01,6,1163,0.52%,11.7
2026-03-02,14,1205,1.16%,12.2
2026-03-03,11,1190,0.92%,8.8
2026-03-04,6,1241,0.48%,9.8
2026-03-05,4,1388,0.29%,12.6
2026-03-06,9,1307,0.69%,14.6
2026-03-07,12,1074,1.12%,12.4
2026-03-08,9,1033,0.87%,8.9
2026-03-09,15,1251,1.2%,8.6
2026-03-10,13,1119,1.16%,8.1
2026-03-11,15,1183,1.27%,9.6
2026-03-12,8,1050,0.76%,12.1
2026-03-13,11,1217,0.9%,14.9
2026-03-14,6,1136,0.53%,18
2026-03-15,5,1099,0.45%,18.7
2026-03-16,12,1188,1.01%,14.7
2026-03-17,13,920,1.41%,13.8
2026-03-18,10,705,1.42%,14.1
2026-03-19,16,697,2.3%,16.3
2026-03-20,12,806,1.49%,21.9
2026-03-21,3,919,0.33%,26.5
2026-03-22,6,773,0.78%,23.1
2026-03-23,13,785,1.66%,21
2026-03-24,15,759,1.98%,21.5
2026-03-25,12,707,1.7%,20.2
2026-03-26,9,672,1.34%,24.4
2026-03-27,4,779,0.51%,22.5
2026-03-28,22,764,2.88%,20.6
2026-03-29,4,1061,0.38%,16.6
2026-03-30,10,1160,0.86%,15.6
2026-03-31,10,1250,0.8%,15.7
2026-04-01,10,1008,0.99%,16.6
2026-04-02,6,998,0.6%,16.8
2026-04-03,3,1219,0.25%,14
2026-04-04,6,959,0.63%,15.9
2026-04-05,7,957,0.73%,16.2
2026-04-06,17,1188,1.43%,17
2026-04-07,17,1195,1.42%,18.2
2026-04-08,14,1176,1.19%,15.3
2026-04-09,14,1223,1.14%,14.2
2026-04-10,9,1226,0.73%,17.2
2026-04-11,9,1132,0.8%,18.2
2026-04-12,10,1242,0.81%,17.1
2026-04-13,11,1390,0.79%,16.2
2026-04-14,14,1142,1.23%,15.3
2026-04-15,14,1250,1.12%,19.1
2026-04-16,16,1468,1.09%,14.4
2026-04-17,10,1481,0.68%,15.3
2026-04-18,5,1401,0.36%,16.4
2026-04-19,11,1521,0.72%,16.1
2026-04-20,17,1635,1.04%,16.3
2026-04-21,14,1482,0.94%,14.8
2026-04-22,9,1339,0.67%,14.8
2026-04-23,8,1360,0.59%,16.2
2026-04-24,10,1278,0.78%,16.2
2026-04-25,3,1287,0.23%,17.2
2026-04-26,12,1286,0.93%,16.5
2026-04-27,13,1508,0.86%,16
2026-04-28,17,1224,1.39%,13.9
2026-04-29,8,1351,0.59%,14.5
2026-04-30,10,1181,0.85%,15.7
2026-05-01,6,1225,0.49%,15.9
2026-05-02,6,1067,0.56%,16.3
2026-05-03,8,1119,0.71%,19.1
2026-05-04,11,1298,0.85%,18
2026-05-05,20,1304,1.53%,13.3
2026-05-06,8,1186,0.67%,15.7
2026-05-07,8,1403,0.57%,15.2
2026-05-08,10,1348,0.74%,16.2
2026-05-09,8,1122,0.71%,16.6
2026-05-10,6,1298,0.46%,16.7
2026-05-11,20,1521,1.31%,15.5
2026-05-12,12,1376,0.87%,14.3
